情報名,,スタッフ画像,,,,,,,,,
スキーマ名,,,,,,,,,,,
エンティティ名,,staff_img,,,,,,,,,
エンティティ説明,,講師／インストラクターの画像情報を格納,,,,,,,,,
,,,,,,,,,,,
No.,項目名称,カラムID,PK,FK,"ＵＮ
制約",Null値,INDEX,データ型,桁,デフォルト値,カラム定義（説明）
1,画像ID,img_id,〇,,,,,INT,-,,AUTO_INCREMENT
2,スタッフID,staff_id,,〇,,,,VARCHAR,7,,
3,作成年月日時分秒,crt_time,,,,,,TIMESTAMP,-,,
4,更新年月日時分秒,upd_time,,,,,,TIMESTAMP,-,,
5,ファイルパス,img_path,,,,,,VARCHAR,255,,
6,画像種別,img_type,,,,,,TINYINT,-,,"0:メイン
1:サブ1
2:サブ2
…"
